,record,type,0_qrs_interval,0_pre-RR,0_post-RR,0_qt_interval,0_st_interval
0,101,N,41,76,313.0,66,7
1,101,N,21,313,315.0,33,8
2,101,N,22,315,321.0,32,7
3,101,N,22,321,336.0,33,7
4,101,N,11,336,344.0,16,1
5,101,N,22,344,324.0,33,8
6,101,N,23,324,313.0,34,8
7,101,N,22,313,313.0,31,6
8,101,N,25,313,310.0,37,7
9,101,N,22,310,329.0,32,6
10,101,N,22,329,330.0,32,5
11,101,N,22,330,329.0,33,7
12,101,N,22,329,323.0,39,6
13,101,N,23,323,326.0,31,3
14,101,N,22,326,319.0,32,5
15,101,N,23,319,313.0,29,5
16,101,N,22,313,328.0,33,5
17,101,N,22,328,329.0,31,3
18,101,N,24,329,325.0,30,3
19,101,N,22,325,305.0,32,5
20,101,N,23,305,302.0,32,2
21,101,N,23,302,313.0,30,3
22,101,N,22,313,320.0,30,4
23,101,N,22,320,323.0,36,4
24,101,N,23,323,319.0,29,1
25,101,N,10,319,309.0,14,1
26,101,N,22,309,307.0,33,7
27,101,N,10,307,305.0,16,1
28,101,N,24,305,295.0,33,5
29,101,N,22,295,307.0,32,5
30,101,N,22,307,325.0,37,5
31,101,N,30,325,328.0,44,6
32,101,N,29,328,309.0,43,6
33,101,N,22,309,302.0,34,7
34,101,N,27,302,293.0,38,7
35,101,N,22,293,285.0,34,7
36,101,N,21,285,290.0,40,6
37,101,N,23,290,290.0,35,8
38,101,N,22,290,288.0,32,7
39,101,N,22,288,283.0,38,7
40,101,N,23,283,290.0,31,7
41,101,N,36,290,272.0,70,7
42,101,N,19,272,274.0,50,1
43,101,N,22,274,283.0,31,7
44,101,N,22,283,290.0,30,7
45,101,N,23,290,303.0,29,4
46,101,N,23,303,307.0,34,7
47,101,N,11,307,283.0,20,1
48,101,N,10,283,272.0,21,1
49,101,N,10,272,279.0,16,1
50,101,N,22,279,286.0,37,7
51,101,N,11,286,291.0,19,1
52,101,N,11,291,300.0,14,1
53,101,N,30,300,304.0,36,5
54,101,N,22,304,301.0,33,6
55,101,N,23,301,294.0,32,5
56,101,N,23,294,282.0,33,5
57,101,N,22,282,282.0,39,8
58,101,N,22,282,285.0,33,7
59,101,N,22,285,297.0,33,6
60,101,N,23,297,291.0,33,5
61,101,N,22,291,290.0,31,5
62,101,N,22,290,290.0,31,5
63,101,N,22,290,291.0,33,7
64,101,N,10,291,302.0,17,1
65,101,N,11,302,313.0,22,1
66,101,N,23,313,320.0,33,7
67,101,N,11,320,329.0,16,1
68,101,N,23,329,344.0,33,7
69,101,N,23,344,332.0,33,7
70,101,N,11,332,310.0,15,1
71,101,N,10,310,322.0,16,1
72,101,N,22,322,321.0,33,7
73,101,N,11,321,331.0,15,1
74,101,N,23,331,344.0,34,6
75,101,N,22,344,331.0,33,6
76,101,N,22,331,317.0,32,6
77,101,N,10,317,316.0,15,1
78,101,N,21,316,314.0,33,7
79,101,N,21,314,316.0,31,6
80,101,N,21,316,320.0,33,7
81,101,N,22,320,334.0,33,7
82,101,N,23,334,330.0,31,4
83,101,N,22,330,304.0,30,5
84,101,N,22,304,302.0,33,7
85,101,N,22,302,327.0,33,6
86,101,N,23,327,330.0,31,4
87,101,N,23,330,336.0,31,4
88,101,N,22,336,318.0,30,5
89,101,N,11,318,313.0,18,1
90,101,N,21,313,309.0,34,9
91,101,N,22,309,316.0,33,7
92,101,N,22,316,302.0,38,7
93,101,N,23,302,294.0,32,5
94,101,N,22,294,312.0,30,4
95,101,N,11,312,315.0,17,1
96,101,N,23,315,306.0,32,5
97,101,N,22,306,299.0,32,6
98,101,N,22,299,301.0,31,4
99,101,N,23,301,297.0,35,2
100,101,N,22,297,325.0,32,5
101,101,N,22,325,324.0,31,3
102,101,N,10,324,313.0,16,1
103,101,N,22,313,315.0,34,8
104,101,N,22,315,303.0,34,8
105,101,N,11,303,301.0,14,1
106,101,N,11,301,299.0,15,1
107,101,N,21,299,302.0,36,8
108,101,N,21,302,310.0,33,6
109,101,N,31,310,315.0,122,83
110,101,N,30,315,299.0,119,80
111,101,N,23,299,288.0,113,85
112,101,N,23,288,301.0,37,5
113,101,N,24,301,308.0,36,5
114,101,N,21,308,310.0,37,8
115,101,N,23,310,314.0,34,3
116,101,N,22,314,305.0,34,7
117,101,N,23,305,312.0,33,8
118,101,N,23,312,308.0,31,5
119,101,N,24,308,304.0,32,3
120,101,N,25,304,309.0,116,84
121,101,N,27,309,323.0,50,20
122,101,N,32,323,326.0,132,91
123,101,N,33,326,331.0,122,85
124,101,N,30,331,318.0,102,67
125,101,N,26,318,311.0,40,6
126,101,N,25,311,317.0,32,3
127,101,N,30,317,316.0,49,9
128,101,N,30,316,321.0,44,10
129,101,N,10,321,327.0,19,1
130,101,N,32,327,263.0,66,31
131,101,N,23,65,216.0,33,4
